,Adjective,Count
56,more,7
70,ukrainian,7
1,american,6
45,new,5
14,same,4
47,great,4
10,many,4
31,secret,3
48,republican,3
49,closed,3
22,fair,3
77,last,3
0,crooked,3
13,radical,3
88,fraudulent,3
132,much,3
7,crazy,3
18,possible,3
79,high,3
101,partisan,2
39,trump,2
40,pro,2
44,environmental,2
136,disgraceful,2
125,wrong,2
117,massive,2
37,anti,2
86,major,2
52,only,2
78,important,2
57,due,2
61,focused,2
82,blatant,2
64,legal,2
69,perfect,2
51,political,2
73,huge,2
11,other,2
20,free,2
17,next,2
9,2nd,2
2,real,2
28,@potus,2
107,short,1
116,guilty,1
115,local,1
114,nervous,1
113,first,1
112,entire,1
111,incorrect,1
110,hot,1
109,striking,1
108,busy,1
36,surprised,1
106,negative,1
118,ruthless,1
105,minded,1
104,controversial,1
103,clear,1
102,loud,1
6,sure,1
100,unfair,1
99,big,1
98,safe,1
97,serial,1
5,russian,1
119,illegal,1
95,drunk,1
120,lucky,1
144,breaking,1
143,full,1
142,future,1
141,solemn,1
140,own,1
139,true,1
138,w/,1
137,embarrassed,1
135,unpardonable,1
134,successful,1
133,entitled,1
3,past,1
131,second,1
130,stymie,1
129,good,1
128,interested,1
127,criminal,1
126,ukraine,1
4,fake,1
124,phony,1
123,enraged,1
122,dirty,1
121,angry,1
96,willing,1
92,smart,1
94,hard,1
26,actual,1
62,serious,1
23,best,1
60,fantastic,1
59,economic,1
58,extra,1
24,monumental,1
25,false,1
55,mainstream,1
54,natural,1
53,unclassified,1
27,unauthorized,1
21,transparent,1
50,unprecedented,1
29,rich,1
30,live,1
46,evangelical,1
32,misleading,1
33,public,1
43,horrible,1
42,such,1
41,extreme,1
34,happy,1
63,tiny,1
65,third,1
93,popular,1
80,open,1
35,formal,1
91,former,1
90,silent,1
89,tough,1
8,unbelievable,1
87,enough,1
85,long,1
84,soviet,1
83,rogue,1
81,late,1
12,productive,1
66,disappointing,1
15,slow,1
16,exact,1
76,fourth,1
75,constitutional,1
74,irrational,1
72,disastrous,1
71,usual,1
19,secretive,1
68,dishonest,1
67,okay,1
145,unable,1
